1.90046	1.90046	1.90047	1.90049	1.90051	1.90054	1.90057	1.90061	1.90066	1.90071	1.90076	1.90082	1.90088	1.90095	1.90102	1.9011	1.90117	1.90125	1.90134	1.90142	1.90151	1.90159	1.90168	1.90177	1.90186	1.90195	1.90204	1.90213	1.90222	1.90231	1.9024	1.90248	1.90257	1.90265	1.90273	1.90281	1.90289	1.90296	1.90304	1.90311	1.90318	1.90324	1.90331	1.90337	1.90343	1.90348	1.90353	1.90359	1.90363	1.90368	1.90372	1.90376	1.9038	1.90384	1.90387	1.9039	1.90393	1.90396	1.90399	1.90401	1.90403	1.90405	1.90407	1.90409	1.9041	1.90412	1.90413	1.90414	1.90415	1.90416	1.90416	1.90417	1.90418	1.90418	1.90418	1.90418	1.90419	1.90419	1.90419	1.90419	
1.9005	1.9005	1.90051	1.90053	1.90055	1.90057	1.90061	1.90064	1.90069	1.90074	1.90079	1.90084	1.90091	1.90097	1.90104	1.90111	1.90119	1.90126	1.90134	1.90143	1.90151	1.90159	1.90168	1.90177	1.90185	1.90194	1.90203	1.90212	1.90221	1.90229	1.90238	1.90246	1.90255	1.90263	1.90271	1.90279	1.90287	1.90294	1.90302	1.90309	1.90316	1.90322	1.90329	1.90335	1.90341	1.90347	1.90352	1.90358	1.90363	1.90367	1.90372	1.90376	1.9038	1.90384	1.90388	1.90391	1.90394	1.90397	1.904	1.90403	1.90405	1.90407	1.9041	1.90411	1.90413	1.90415	1.90416	1.90417	1.90418	1.90419	1.9042	1.90421	1.90422	1.90422	1.90423	1.90423	1.90423	1.90423	1.90423	1.90423	
1.90055	1.90055	1.90055	1.90057	1.90059	1.90061	1.90064	1.90068	1.90072	1.90077	1.90082	1.90087	1.90093	1.90099	1.90106	1.90113	1.9012	1.90128	1.90135	1.90143	1.90151	1.90159	1.90168	1.90176	1.90185	1.90193	1.90202	1.90211	1.90219	1.90228	1.90236	1.90244	1.90253	1.90261	1.90269	1.90277	1.90285	1.90292	1.903	1.90307	1.90314	1.90321	1.90327	1.90333	1.9034	1.90346	1.90351	1.90357	1.90362	1.90367	1.90372	1.90376	1.90381	1.90385	1.90389	1.90392	1.90396	1.90399	1.90402	1.90405	1.90408	1.9041	1.90412	1.90414	1.90416	1.90418	1.9042	1.90421	1.90422	1.90424	1.90425	1.90425	1.90426	1.90427	1.90427	1.90428	1.90428	1.90428	1.90428	1.90428	
1.90059	1.90059	1.9006	1.90061	1.90063	1.90065	1.90068	1.90072	1.90076	1.9008	1.90085	1.9009	1.90096	1.90102	1.90108	1.90115	1.90122	1.90129	1.90136	1.90144	1.90152	1.9016	1.90168	1.90176	1.90184	1.90193	1.90201	1.90209	1.90218	1.90226	1.90235	1.90243	1.90251	1.90259	1.90267	1.90275	1.90283	1.9029	1.90298	1.90305	1.90312	1.90319	1.90326	1.90332	1.90339	1.90345	1.90351	1.90356	1.90362	1.90367	1.90372	1.90377	1.90381	1.90386	1.9039	1.90394	1.90397	1.90401	1.90404	1.90407	1.9041	1.90413	1.90415	1.90418	1.9042	1.90422	1.90424	1.90425	1.90427	1.90428	1.90429	1.9043	1.90431	1.90432	1.90432	1.90433	1.90433	1.90433	1.90433	1.90433	
1.90064	1.90064	1.90064	1.90066	1.90067	1.9007	1.90073	1.90076	1.9008	1.90084	1.90088	1.90093	1.90099	1.90105	1.90111	1.90117	1.90124	1.90131	1.90138	1.90145	1.90153	1.9016	1.90168	1.90176	1.90184	1.90192	1.902	1.90209	1.90217	1.90225	1.90233	1.90242	1.9025	1.90258	1.90266	1.90273	1.90281	1.90289	1.90296	1.90304	1.90311	1.90318	1.90325	1.90331	1.90338	1.90344	1.9035	1.90356	1.90362	1.90367	1.90372	1.90377	1.90382	1.90387	1.90391	1.90395	1.90399	1.90403	1.90406	1.9041	1.90413	1.90416	1.90419	1.90421	1.90423	1.90426	1.90428	1.90429	1.90431	1.90432	1.90434	1.90435	1.90436	1.90437	1.90437	1.90438	1.90438	1.90438	1.90438	1.90438	
1.90068	1.90068	1.90069	1.9007	1.90072	1.90074	1.90077	1.9008	1.90084	1.90088	1.90092	1.90097	1.90102	1.90107	1.90113	1.90119	1.90126	1.90132	1.90139	1.90146	1.90154	1.90161	1.90169	1.90176	1.90184	1.90192	1.902	1.90208	1.90216	1.90224	1.90232	1.90241	1.90249	1.90257	1.90264	1.90272	1.9028	1.90288	1.90295	1.90303	1.9031	1.90317	1.90324	1.90331	1.90337	1.90344	1.9035	1.90356	1.90362	1.90368	1.90373	1.90378	1.90383	1.90388	1.90393	1.90397	1.90401	1.90405	1.90409	1.90413	1.90416	1.90419	1.90422	1.90425	1.90427	1.9043	1.90432	1.90434	1.90436	1.90437	1.90439	1.9044	1.90441	1.90442	1.90443	1.90443	1.90443	1.90444	1.90444	1.90444	
1.90073	1.90073	1.90074	1.90075	1.90077	1.90079	1.90081	1.90084	1.90088	1.90091	1.90096	1.901	1.90105	1.9011	1.90116	1.90122	1.90128	1.90134	1.90141	1.90148	1.90155	1.90162	1.90169	1.90177	1.90185	1.90192	1.902	1.90208	1.90216	1.90224	1.90232	1.9024	1.90248	1.90256	1.90264	1.90272	1.90279	1.90287	1.90295	1.90302	1.90309	1.90317	1.90324	1.90331	1.90337	1.90344	1.9035	1.90357	1.90363	1.90368	1.90374	1.9038	1.90385	1.9039	1.90395	1.90399	1.90404	1.90408	1.90412	1.90416	1.90419	1.90423	1.90426	1.90429	1.90432	1.90434	1.90437	1.90439	1.90441	1.90442	1.90444	1.90445	1.90446	1.90447	1.90448	1.90449	1.90449	1.90449	1.90449	1.90449	
1.90078	1.90078	1.90079	1.9008	1.90081	1.90083	1.90086	1.90089	1.90092	1.90096	1.901	1.90104	1.90109	1.90114	1.90119	1.90125	1.9013	1.90137	1.90143	1.9015	1.90156	1.90163	1.90171	1.90178	1.90185	1.90193	1.90201	1.90208	1.90216	1.90224	1.90232	1.9024	1.90248	1.90255	1.90263	1.90271	1.90279	1.90287	1.90294	1.90302	1.90309	1.90317	1.90324	1.90331	1.90338	1.90344	1.90351	1.90357	1.90364	1.9037	1.90376	1.90381	1.90387	1.90392	1.90397	1.90402	1.90407	1.90411	1.90415	1.90419	1.90423	1.90427	1.9043	1.90433	1.90436	1.90439	1.90441	1.90444	1.90446	1.90447	1.90449	1.90451	1.90452	1.90453	1.90454	1.90454	1.90455	1.90455	1.90455	1.90455	
1.90083	1.90083	1.90084	1.90085	1.90086	1.90088	1.9009	1.90093	1.90096	1.901	1.90104	1.90108	1.90112	1.90117	1.90122	1.90128	1.90133	1.90139	1.90145	1.90152	1.90158	1.90165	1.90172	1.90179	1.90186	1.90194	1.90201	1.90209	1.90217	1.90224	1.90232	1.9024	1.90248	1.90256	1.90264	1.90271	1.90279	1.90287	1.90295	1.90302	1.9031	1.90317	1.90324	1.90332	1.90339	1.90346	1.90352	1.90359	1.90365	1.90372	1.90378	1.90383	1.90389	1.90395	1.904	1.90405	1.9041	1.90414	1.90419	1.90423	1.90427	1.90431	1.90434	1.90438	1.90441	1.90444	1.90446	1.90449	1.90451	1.90453	1.90455	1.90456	1.90457	1.90459	1.90459	1.9046	1.90461	1.90461	1.90461	1.90461	
1.90088	1.90088	1.90089	1.9009	1.90091	1.90093	1.90095	1.90098	1.90101	1.90104	1.90108	1.90112	1.90116	1.90121	1.90126	1.90131	1.90136	1.90142	1.90148	1.90154	1.90161	1.90167	1.90174	1.90181	1.90188	1.90195	1.90203	1.9021	1.90218	1.90225	1.90233	1.90241	1.90249	1.90256	1.90264	1.90272	1.9028	1.90288	1.90295	1.90303	1.90311	1.90318	1.90326	1.90333	1.9034	1.90347	1.90354	1.90361	1.90367	1.90374	1.9038	1.90386	1.90392	1.90398	1.90403	1.90408	1.90413	1.90418	1.90423	1.90427	1.90431	1.90435	1.90439	1.90442	1.90446	1.90449	1.90451	1.90454	1.90456	1.90458	1.9046	1.90462	1.90463	1.90464	1.90465	1.90466	1.90467	1.90467	1.90467	1.90467	
1.90093	1.90093	1.90094	1.90095	1.90096	1.90098	1.901	1.90102	1.90105	1.90108	1.90112	1.90116	1.9012	1.90124	1.90129	1.90134	1.90139	1.90145	1.90151	1.90157	1.90163	1.90169	1.90176	1.90183	1.9019	1.90197	1.90204	1.90212	1.90219	1.90227	1.90234	1.90242	1.9025	1.90258	1.90266	1.90273	1.90281	1.90289	1.90297	1.90305	1.90312	1.9032	1.90327	1.90335	1.90342	1.90349	1.90356	1.90363	1.9037	1.90376	1.90383	1.90389	1.90395	1.90401	1.90407	1.90412	1.90417	1.90422	1.90427	1.90432	1.90436	1.9044	1.90444	1.90447	1.90451	1.90454	1.90457	1.90459	1.90462	1.90464	1.90466	1.90468	1.90469	1.9047	1.90471	1.90472	1.90473	1.90473	1.90473	1.90473	
1.90098	1.90098	1.90099	1.901	1.90101	1.90102	1.90105	1.90107	1.9011	1.90113	1.90116	1.9012	1.90124	1.90128	1.90133	1.90138	1.90143	1.90148	1.90154	1.9016	1.90166	1.90172	1.90179	1.90185	1.90192	1.90199	1.90206	1.90214	1.90221	1.90229	1.90236	1.90244	1.90252	1.90259	1.90267	1.90275	1.90283	1.90291	1.90299	1.90307	1.90314	1.90322	1.9033	1.90337	1.90345	1.90352	1.90359	1.90366	1.90373	1.9038	1.90386	1.90393	1.90399	1.90405	1.90411	1.90416	1.90421	1.90427	1.90431	1.90436	1.90441	1.90445	1.90449	1.90452	1.90456	1.90459	1.90462	1.90465	1.90467	1.9047	1.90472	1.90473	1.90475	1.90476	1.90477	1.90478	1.90479	1.90479	1.90479	1.90479	
1.90103	1.90103	1.90103	1.90104	1.90106	1.90107	1.90109	1.90112	1.90114	1.90117	1.9012	1.90124	1.90128	1.90132	1.90137	1.90141	1.90146	1.90152	1.90157	1.90163	1.90169	1.90175	1.90182	1.90188	1.90195	1.90202	1.90209	1.90216	1.90224	1.90231	1.90239	1.90246	1.90254	1.90262	1.9027	1.90278	1.90286	1.90293	1.90301	1.90309	1.90317	1.90325	1.90333	1.9034	1.90348	1.90355	1.90362	1.9037	1.90377	1.90383	1.9039	1.90397	1.90403	1.90409	1.90415	1.90421	1.90426	1.90431	1.90436	1.90441	1.90446	1.9045	1.90454	1.90458	1.90461	1.90465	1.90468	1.90471	1.90473	1.90476	1.90478	1.90479	1.90481	1.90482	1.90483	1.90484	1.90485	1.90485	1.90485	1.90485	
1.90108	1.90108	1.90108	1.90109	1.9011	1.90112	1.90114	1.90116	1.90119	1.90122	1.90125	1.90128	1.90132	1.90136	1.90141	1.90145	1.9015	1.90156	1.90161	1.90167	1.90172	1.90179	1.90185	1.90191	1.90198	1.90205	1.90212	1.90219	1.90227	1.90234	1.90242	1.90249	1.90257	1.90265	1.90273	1.90281	1.90289	1.90297	1.90304	1.90312	1.9032	1.90328	1.90336	1.90344	1.90351	1.90359	1.90366	1.90373	1.90381	1.90388	1.90394	1.90401	1.90407	1.90414	1.9042	1.90425	1.90431	1.90436	1.90441	1.90446	1.90451	1.90455	1.90459	1.90463	1.90467	1.9047	1.90474	1.90476	1.90479	1.90481	1.90484	1.90485	1.90487	1.90488	1.90489	1.9049	1.90491	1.90491	1.90491	1.90491	
1.90113	1.90113	1.90113	1.90114	1.90115	1.90117	1.90119	1.90121	1.90123	1.90126	1.90129	1.90133	1.90137	1.90141	1.90145	1.90149	1.90154	1.90159	1.90165	1.9017	1.90176	1.90182	1.90189	1.90195	1.90202	1.90209	1.90216	1.90223	1.9023	1.90237	1.90245	1.90253	1.9026	1.90268	1.90276	1.90284	1.90292	1.903	1.90308	1.90316	1.90324	1.90332	1.9034	1.90348	1.90355	1.90363	1.90371	1.90378	1.90385	1.90392	1.90399	1.90406	1.90412	1.90419	1.90425	1.90431	1.90436	1.90442	1.90447	1.90452	1.90456	1.90461	1.90465	1.90469	1.90473	1.90476	1.90479	1.90482	1.90485	1.90487	1.9049	1.90492	1.90493	1.90495	1.90496	1.90496	1.90497	1.90497	1.90498	1.90498	
1.90117	1.90117	1.90118	1.90119	1.9012	1.90121	1.90123	1.90125	1.90128	1.90131	1.90134	1.90137	1.90141	1.90145	1.90149	1.90154	1.90159	1.90164	1.90169	1.90174	1.9018	1.90186	1.90193	1.90199	1.90206	1.90212	1.90219	1.90227	1.90234	1.90241	1.90249	1.90257	1.90264	1.90272	1.9028	1.90288	1.90296	1.90304	1.90312	1.9032	1.90328	1.90336	1.90344	1.90352	1.9036	1.90368	1.90375	1.90383	1.9039	1.90397	1.90404	1.90411	1.90417	1.90424	1.9043	1.90436	1.90442	1.90447	1.90452	1.90457	1.90462	1.90467	1.90471	1.90475	1.90479	1.90482	1.90485	1.90488	1.90491	1.90494	1.90496	1.90498	1.90499	1.90501	1.90502	1.90503	1.90503	1.90504	1.90504	1.90504	
1.90122	1.90122	1.90123	1.90123	1.90125	1.90126	1.90128	1.9013	1.90132	1.90135	1.90138	1.90142	1.90145	1.90149	1.90154	1.90158	1.90163	1.90168	1.90173	1.90179	1.90185	1.90191	1.90197	1.90203	1.9021	1.90217	1.90224	1.90231	1.90238	1.90246	1.90253	1.90261	1.90269	1.90277	1.90285	1.90293	1.90301	1.90309	1.90317	1.90325	1.90333	1.90341	1.90349	1.90357	1.90365	1.90373	1.90381	1.90388	1.90395	1.90403	1.9041	1.90416	1.90423	1.9043	1.90436	1.90442	1.90448	1.90453	1.90458	1.90463	1.90468	1.90473	1.90477	1.90481	1.90485	1.90488	1.90492	1.90495	1.90497	1.905	1.90502	1.90504	1.90505	1.90507	1.90508	1.90509	1.90509	1.9051	1.9051	1.9051	
1.90127	1.90127	1.90127	1.90128	1.90129	1.90131	1.90132	1.90135	1.90137	1.9014	1.90143	1.90146	1.9015	1.90154	1.90158	1.90163	1.90167	1.90172	1.90178	1.90183	1.90189	1.90195	1.90201	1.90208	1.90214	1.90221	1.90228	1.90236	1.90243	1.9025	1.90258	1.90266	1.90274	1.90282	1.9029	1.90298	1.90306	1.90314	1.90322	1.90331	1.90339	1.90347	1.90355	1.90363	1.90371	1.90379	1.90386	1.90394	1.90401	1.90408	1.90415	1.90422	1.90429	1.90435	1.90442	1.90448	1.90454	1.90459	1.90464	1.9047	1.90474	1.90479	1.90483	1.90487	1.90491	1.90495	1.90498	1.90501	1.90503	1.90506	1.90508	1.9051	1.90512	1.90513	1.90514	1.90515	1.90516	1.90516	1.90516	1.90516	
1.90131	1.90131	1.90132	1.90133	1.90134	1.90135	1.90137	1.90139	1.90142	1.90144	1.90147	1.90151	1.90154	1.90158	1.90163	1.90167	1.90172	1.90177	1.90182	1.90188	1.90194	1.902	1.90206	1.90213	1.90219	1.90226	1.90233	1.90241	1.90248	1.90256	1.90263	1.90271	1.90279	1.90287	1.90295	1.90303	1.90311	1.9032	1.90328	1.90336	1.90344	1.90353	1.90361	1.90369	1.90377	1.90385	1.90392	1.904	1.90407	1.90415	1.90422	1.90429	1.90435	1.90442	1.90448	1.90454	1.9046	1.90465	1.90471	1.90476	1.90481	1.90485	1.90489	1.90494	1.90497	1.90501	1.90504	1.90507	1.9051	1.90512	1.90514	1.90516	1.90518	1.90519	1.9052	1.90521	1.90522	1.90522	1.90522	1.90522	
1.90136	1.90136	1.90136	1.90137	1.90138	1.9014	1.90141	1.90144	1.90146	1.90149	1.90152	1.90155	1.90159	1.90163	1.90167	1.90172	1.90177	1.90182	1.90187	1.90193	1.90199	1.90205	1.90211	1.90218	1.90224	1.90231	1.90239	1.90246	1.90253	1.90261	1.90269	1.90277	1.90285	1.90293	1.90301	1.90309	1.90317	1.90326	1.90334	1.90342	1.90351	1.90359	1.90367	1.90375	1.90383	1.90391	1.90399	1.90406	1.90414	1.90421	1.90428	1.90435	1.90442	1.90448	1.90455	1.90461	1.90466	1.90472	1.90477	1.90482	1.90487	1.90492	1.90496	1.905	1.90504	1.90507	1.9051	1.90513	1.90516	1.90518	1.9052	1.90522	1.90524	1.90525	1.90526	1.90527	1.90528	1.90528	1.90528	1.90528	
1.9014	1.9014	1.90141	1.90141	1.90143	1.90144	1.90146	1.90148	1.90151	1.90153	1.90157	1.9016	1.90164	1.90168	1.90172	1.90177	1.90182	1.90187	1.90192	1.90198	1.90204	1.9021	1.90216	1.90223	1.9023	1.90237	1.90244	1.90251	1.90259	1.90267	1.90275	1.90283	1.90291	1.90299	1.90307	1.90315	1.90324	1.90332	1.9034	1.90349	1.90357	1.90365	1.90373	1.90382	1.9039	1.90398	1.90405	1.90413	1.9042	1.90428	1.90435	1.90442	1.90448	1.90455	1.90461	1.90467	1.90473	1.90479	1.90484	1.90489	1.90494	1.90498	1.90502	1.90506	1.9051	1.90513	1.90517	1.9052	1.90522	1.90525	1.90527	1.90529	1.9053	1.90531	1.90533	1.90533	1.90534	1.90534	1.90534	1.90534	
1.90144	1.90144	1.90145	1.90146	1.90147	1.90148	1.9015	1.90152	1.90155	1.90158	1.90161	1.90165	1.90168	1.90172	1.90177	1.90182	1.90187	1.90192	1.90197	1.90203	1.90209	1.90215	1.90222	1.90229	1.90235	1.90243	1.9025	1.90257	1.90265	1.90273	1.90281	1.90289	1.90297	1.90305	1.90313	1.90322	1.9033	1.90339	1.90347	1.90355	1.90364	1.90372	1.9038	1.90388	1.90396	1.90404	1.90412	1.9042	1.90427	1.90435	1.90442	1.90449	1.90455	1.90462	1.90468	1.90474	1.9048	1.90485	1.90491	1.90496	1.905	1.90505	1.90509	1.90513	1.90516	1.9052	1.90523	1.90526	1.90528	1.90531	1.90533	1.90535	1.90536	1.90538	1.90539	1.90539	1.9054	1.9054	1.90541	1.90541	
1.90149	1.90149	1.90149	1.9015	1.90151	1.90153	1.90155	1.90157	1.90159	1.90162	1.90166	1.90169	1.90173	1.90177	1.90182	1.90186	1.90192	1.90197	1.90202	1.90208	1.90214	1.90221	1.90227	1.90234	1.90241	1.90248	1.90256	1.90263	1.90271	1.90279	1.90287	1.90295	1.90303	1.90312	1.9032	1.90328	1.90337	1.90345	1.90354	1.90362	1.90371	1.90379	1.90387	1.90395	1.90403	1.90411	1.90419	1.90427	1.90434	1.90442	1.90449	1.90456	1.90462	1.90469	1.90475	1.90481	1.90487	1.90492	1.90497	1.90502	1.90507	1.90511	1.90515	1.90519	1.90523	1.90526	1.90529	1.90532	1.90535	1.90537	1.90539	1.90541	1.90542	1.90544	1.90545	1.90546	1.90546	1.90546	1.90547	1.90547	
1.90153	1.90153	1.90153	1.90154	1.90155	1.90157	1.90159	1.90161	1.90164	1.90167	1.9017	1.90174	1.90178	1.90182	1.90187	1.90191	1.90197	1.90202	1.90208	1.90214	1.9022	1.90226	1.90233	1.9024	1.90247	1.90254	1.90262	1.90269	1.90277	1.90285	1.90293	1.90302	1.9031	1.90318	1.90327	1.90335	1.90344	1.90352	1.90361	1.90369	1.90378	1.90386	1.90394	1.90403	1.90411	1.90419	1.90426	1.90434	1.90442	1.90449	1.90456	1.90463	1.90469	1.90476	1.90482	1.90488	1.90494	1.90499	1.90504	1.90509	1.90514	1.90518	1.90522	1.90526	1.90529	1.90533	1.90536	1.90538	1.90541	1.90543	1.90545	1.90547	1.90548	1.9055	1.90551	1.90551	1.90552	1.90552	1.90552	1.90552	
1.90157	1.90157	1.90157	1.90158	1.90159	1.90161	1.90163	1.90165	1.90168	1.90171	1.90175	1.90178	1.90182	1.90187	1.90191	1.90196	1.90202	1.90207	1.90213	1.90219	1.90225	1.90232	1.90239	1.90246	1.90253	1.9026	1.90268	1.90276	1.90284	1.90292	1.903	1.90308	1.90317	1.90325	1.90334	1.90342	1.90351	1.90359	1.90368	1.90376	1.90385	1.90393	1.90402	1.9041	1.90418	1.90426	1.90434	1.90441	1.90449	1.90456	1.90463	1.9047	1.90476	1.90483	1.90489	1.90495	1.905	1.90506	1.90511	1.90516	1.9052	1.90525	1.90529	1.90532	1.90536	1.90539	1.90542	1.90545	1.90547	1.90549	1.90551	1.90553	1.90554	1.90556	1.90557	1.90557	1.90558	1.90558	1.90558	1.90558	
